sequence_id,angle,label
0,0,SAFE
0,0,SAFE
0,-1,SAFE
0,-1,SAFE
0,-1,SAFE
0,-2,SAFE
0,-3,SAFE
0,-2,SAFE
0,-3,SAFE
0,-3,SAFE
0,-4,SAFE
0,-3,SAFE
0,-4,SAFE
0,-3,SAFE
0,-3,SAFE
0,-4,SAFE
0,-4,SAFE
0,-5,SAFE
0,-4,SAFE
0,-4,SAFE
0,-3,SAFE
0,-3,SAFE
0,-4,SAFE
0,-4,SAFE
0,-5,SAFE
0,-6,SAFE
0,-6,SAFE
0,-6,SAFE
0,-7,SAFE
0,-7,SAFE
0,-6,SAFE
0,-5,SAFE
0,-4,SAFE
0,-3,SAFE
0,-2,SAFE
0,-1,SAFE
0,0,SAFE
0,0,SAFE
0,-1,SAFE
0,-2,SAFE
0,-3,SAFE
0,-4,SAFE
0,-5,SAFE
0,-5,SAFE
0,-6,SAFE
0,-5,SAFE
0,-4,SAFE
0,-5,SAFE
0,-6,SAFE
0,-6,SAFE
0,-7,SAFE
0,-7,SAFE
0,-6,SAFE
0,-5,SAFE
0,-4,SAFE
0,-3,SAFE
0,-3,SAFE
0,-4,SAFE
0,-4,SAFE
0,-3,SAFE
0,-2,SAFE
0,-3,SAFE
0,-4,SAFE
0,-3,SAFE
0,-3,SAFE
0,-3,SAFE
0,-3,SAFE
0,-3,SAFE
0,-2,SAFE
0,-1,SAFE
0,-1,SAFE
0,0,SAFE
0,1,SAFE
0,0,SAFE
0,-1,SAFE
0,-2,SAFE
0,-2,SAFE
0,-3,SAFE
0,-3,SAFE
0,-4,SAFE
0,-3,SAFE
0,-3,SAFE
0,-4,SAFE
0,-5,SAFE
0,-6,SAFE
0,-6,SAFE
0,-7,SAFE
0,-7,SAFE
0,-6,SAFE
0,-5,SAFE
0,-5,SAFE
0,-5,SAFE
0,-5,SAFE
0,-6,SAFE
0,-7,SAFE
0,-8,SAFE
0,-9,SAFE
0,-9,SAFE
0,-9,SAFE
0,-8,SAFE
1,1,SAFE
1,2,SAFE
1,1,SAFE
1,1,SAFE
1,0,SAFE
1,1,SAFE
1,2,SAFE
1,2,SAFE
1,3,SAFE
1,2,SAFE
1,3,SAFE
1,4,SAFE
1,5,SAFE
1,4,SAFE
1,3,SAFE
1,2,SAFE
1,1,SAFE
1,1,SAFE
1,0,SAFE
1,0,SAFE
1,-1,SAFE
1,-2,SAFE
1,-3,SAFE
1,-4,SAFE
1,-5,SAFE
1,-4,SAFE
1,-5,SAFE
1,-4,SAFE
1,-3,SAFE
1,-3,SAFE
